"id","title","parent_id","order","created_at","created_by","deleted_at","updated_at","oldid","info","dependent_on","description"
3343,هدیه دعوت کننده,3342,,2019-02-13 10:35:25,50060,,,,,,
3345,مرجوعی وجه,3342,,2019-02-13 10:35:25,50060,,,,"{""referenceId"": ""refunds.id""}",,
3346,هدیه دعوت شونده,3342,,2019-02-13 10:35:25,50060,,,,,,
3437,شارژ غیر نقدی توسط اپراتور,3342,,2019-02-13 10:35:25,50060,,,,,,
3495,هدیه دعوت کننده - اپ,3342,,2019-02-13 10:35:25,102197,,,,,,
3533,افزودن اعتبار از بانک,3342,,2019-04-23 18:27:41,102197,,,,,,
3570,هدیه دعوت کننده - غرفه,3342,,2019-02-13 10:35:25,102197,,2019-02-13 10:35:25,,,,
3647,شارژ اعتبار از طریق credit code,3342,,2020-03-12 20:12:08,22335,,2020-03-12 20:12:08,,,,
4017,هدیه چرخونه,3342,,2020-10-20 11:06:04,,,2020-10-20 11:06:04,,,,
